Error | module 'services_py.notification_service' has no attribute 'log_action' | At: toggle_terminal
Error | module 'services_py.notification_service' has no attribute 'log_action' | At: toggle_terminal
Error | AppState.get_state() missing 1 required positional argument: 'key' | At: toggle_terminal
Error | AppState.get_state() missing 1 required positional argument: 'key' | At: toggle_terminal
Error | name 'user' is not defined | At: toggle_terminal
Error | [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond | at init_app
Error | [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond | at init_app
Error | [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond | at init_app
Error | [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond | at init_app
Error | log() takes 1 positional argument but 2 were given | At: set_conn
Error | [WinError 10049] The requested address is not valid in its context | at init_app
Error | [WinError 10049] The requested address is not valid in its context | at init_app
Error | 'NoneType' object is not subscriptable | At: get_modal
Error | 'NoneType' object has no attribute 'split' | At: get_modal
